order date (DateOrders),shipping date (DateOrders),Days for shipping (real),Days for shipment (scheduled),Shipping Mode,Market,Order Region,Category Name,Customer Segment,Order Status,Late_delivery_risk,Order Profit Per Order,Sales,Benefit per order,Order Item Quantity,delay_days,is_late
1/13/2018 1:57,1/18/2018 1:57,5,4,Standard Class,Pacific Asia,South Asia,Sporting Goods,Consumer,COMPLETE,1,113.0699997,327.75,113.0699997,1.0,1,1
1/13/2018 1:36,1/17/2018 1:36,4,4,Standard Class,Pacific Asia,South Asia,Sporting Goods,Consumer,PENDING_PAYMENT,0,24.57999992,327.75,24.57999992,1.0,0,0
1/13/2018 1:15,1/15/2018 1:15,2,1,First Class,Pacific Asia,Eastern Asia,Sporting Goods,Consumer,COMPLETE,1,-97.33999634,327.75,-97.33999634,1.0,1,1
1/13/2018 0:54,1/15/2018 0:54,2,1,First Class,Pacific Asia,Eastern Asia,Sporting Goods,Consumer,PENDING_PAYMENT,1,-425.5799866,327.75,-425.5799866,1.0,1,1
1/13/2018 0:33,1/15/2018 0:33,2,1,First Class,Pacific Asia,Southeast Asia,Sporting Goods,Corporate,PENDING_PAYMENT,1,152.6000061,327.75,152.6000061,1.0,1,1
1/13/2018 0:12,1/15/2018 0:12,2,1,First Class,Pacific Asia,South Asia,Sporting Goods,Corporate,CLOSED,1,151.0299988,327.75,151.0299988,1.0,1,1
1/12/2018 23:51,1/14/2018 23:51,2,1,First Class,Pacific Asia,Oceania,Sporting Goods,Corporate,COMPLETE,1,62.27000046,327.75,62.27000046,1.0,1,1
1/12/2018 23:30,1/13/2018 11:30,1,0,Same Day,Pacific Asia,Oceania,Sporting Goods,Consumer,COMPLETE,1,35.0,327.75,35.0,1.0,1,1
1/12/2018 23:09,1/13/2018 11:09,1,0,Same Day,Pacific Asia,Oceania,Sporting Goods,Consumer,CANCELED,0,57.29999924,327.75,57.29999924,1.0,1,0
1/12/2018 22:48,1/13/2018 10:48,1,0,Same Day,Pacific Asia,Southeast Asia,Sporting Goods,Consumer,PENDING_PAYMENT,1,143.1600037,327.75,143.1600037,1.0,1,1
1/12/2018 22:27,1/13/2018 10:27,1,0,Same Day,Pacific Asia,Southeast Asia,Sporting Goods,Home Office,COMPLETE,1,135.6900024,327.75,135.6900024,1.0,1,1
1/12/2018 22:05,1/16/2018 22:05,4,4,Standard Class,Pacific Asia,Southeast Asia,Sporting Goods,Home Office,CLOSED,0,132.6699982,327.75,132.6699982,1.0,0,0
1/12/2018 21:44,1/15/2018 21:44,3,4,Standard Class,Pacific Asia,Southeast Asia,Sporting Goods,Home Office,PENDING_PAYMENT,0,119.7600021,327.75,119.7600021,1.0,-1,0
1/12/2018 21:23,1/14/2018 21:23,2,4,Standard Class,Pacific Asia,Oceania,Sporting Goods,Consumer,COMPLETE,0,31.47999954,327.75,31.47999954,1.0,-2,0
1/12/2018 21:02,1/18/2018 21:02,6,4,Standard Class,Pacific Asia,South Asia,Sporting Goods,Corporate,PENDING,1,86.16999817,327.75,86.16999817,1.0,2,1
1/12/2018 20:41,1/17/2018 20:41,5,2,Second Class,Pacific Asia,South Asia,Sporting Goods,Corporate,PENDING,1,130.5800018,327.75,130.5800018,1.0,3,1
1/12/2018 20:20,1/16/2018 20:20,4,4,Standard Class,Pacific Asia,Eastern Asia,Sporting Goods,Corporate,PROCESSING,0,0.0,327.75,0.0,1.0,0,0
2/24/2016 13:57,2/29/2016 13:57,5,2,Second Class,Pacific Asia,South Asia,Cleats,Home Office,PENDING_PAYMENT,1,-30.75,119.9800034,-30.75,2.0,3,1
10/25/2016 14:39,10/27/2016 14:39,2,2,Second Class,Pacific Asia,West Asia,Shop By Sport,Home Office,PENDING_PAYMENT,0,-122.7300034,79.98000336,-122.7300034,2.0,0,0
3/30/2016 4:37,4/5/2016 4:37,6,2,Second Class,Pacific Asia,Oceania,Women's Apparel,Home Office,PENDING_PAYMENT,1,33.59999847,100.0,33.59999847,2.0,4,1
10/30/2016 1:31,11/1/2016 1:31,2,2,Second Class,Pacific Asia,West Asia,Shop By Sport,Home Office,PENDING_PAYMENT,0,24.69000053,79.98000336,24.69000053,2.0,0,0
11/28/2016 1:18,12/1/2016 1:18,3,2,Second Class,Pacific Asia,Eastern Asia,Women's Apparel,Home Office,PENDING_PAYMENT,1,9.100000381,100.0,9.100000381,2.0,1,1
12/31/2016 15:47,1/5/2017 15:47,5,2,Second Class,Pacific Asia,West Asia,Women's Apparel,Home Office,PENDING_PAYMENT,1,-21.75,100.0,-21.75,2.0,3,1
10/25/2015 6:24,10/31/2015 6:24,6,2,Second Class,Pacific Asia,South Asia,Women's Apparel,Home Office,PENDING_PAYMENT,1,6.150000095,100.0,6.150000095,2.0,4,1
6/11/2016 15:12,6/13/2016 15:12,2,2,Second Class,USCA,West of USA ,Electronics,Home Office,PENDING_PAYMENT,0,22.40999985,89.98000336,22.40999985,2.0,0,0
8/24/2016 21:45,8/29/2016 21:45,5,2,Second Class,USCA,West of USA ,Boxing & MMA,Home Office,PENDING_PAYMENT,1,25.23999977,109.9400024,25.23999977,2.0,3,1
4/13/2016 10:12,4/19/2016 10:12,6,2,Second Class,USCA,West of USA ,Cleats,Home Office,PENDING_PAYMENT,1,30.5699997,119.9800034,30.5699997,2.0,4,1
5/22/2016 14:10,5/26/2016 14:10,4,2,Second Class,USCA,US Center ,Cleats,Home Office,PENDING_PAYMENT,1,46.0699997,119.9800034,46.0699997,2.0,2,1
10/4/2016 22:55,10/6/2016 22:55,2,2,Second Class,Africa,West Africa,Cardio Equipment,Home Office,PENDING_PAYMENT,0,-184.7799988,299.9700012,-184.7799988,3.0,0,0
11/8/2016 12:32,11/13/2016 12:32,5,2,Second Class,Africa,Central Africa,Shop By Sport,Home Office,PENDING_PAYMENT,1,38.75,119.9700012,38.75,3.0,3,1
11/11/2016 5:21,11/16/2016 5:21,5,2,Second Class,Africa,West Africa,Trade-In,Home Office,PENDING_PAYMENT,1,-3.650000095,65.97000122,-3.650000095,3.0,3,1
12/8/2016 0:14,12/13/2016 0:14,5,2,Second Class,Africa,North Africa,Electronics,Home Office,PENDING_PAYMENT,1,38.22999954,95.97000122,38.22999954,3.0,3,1
7/7/2015 5:31,7/10/2015 5:31,3,2,Second Class,Europe,Western Europe,Cardio Equipment,Home Office,PENDING_PAYMENT,1,129.3500061,299.9700012,129.3500061,3.0,1,1
7/22/2017 7:16,7/24/2017 7:16,2,2,Second Class,Europe,Western Europe,Cardio Equipment,Home Office,PENDING_PAYMENT,0,132.2899933,299.9700012,132.2899933,3.0,0,0
8/7/2017 6:33,8/13/2017 6:33,6,2,Second Class,Europe,Western Europe,Cardio Equipment,Home Office,PENDING_PAYMENT,1,76.04000092,299.9700012,76.04000092,3.0,4,1
9/22/2015 7:41,9/26/2015 7:41,4,2,Second Class,Europe,Western Europe,Cleats,Home Office,PENDING_PAYMENT,1,81.12999725,179.9700012,81.12999725,3.0,2,1
7/2/2017 9:03,7/4/2017 9:03,2,2,Second Class,Europe,Northern Europe,Cleats,Home Office,PENDING_PAYMENT,0,43.52000046,179.9700012,43.52000046,3.0,0,0
9/8/2015 12:15,9/11/2015 12:15,3,2,Second Class,Europe,Northern Europe,Cleats,Home Office,PENDING_PAYMENT,1,68.77999878,179.9700012,68.77999878,3.0,1,1
8/20/2017 7:03,8/23/2017 7:03,3,2,Second Class,Europe,Western Europe,Cleats,Home Office,PENDING_PAYMENT,1,40.49000168,179.9700012,40.49000168,3.0,1,1
7/22/2017 7:16,7/24/2017 7:16,2,2,Second Class,Europe,Western Europe,Women's Apparel,Home Office,PENDING_PAYMENT,0,20.93000031,150.0,20.93000031,3.0,0,0
8/4/2017 2:31,8/8/2017 2:31,4,2,Second Class,Europe,Northern Europe,Shop By Sport,Home Office,PENDING_PAYMENT,1,12.19999981,119.9700012,12.19999981,3.0,2,1
9/18/2017 1:14,9/21/2017 1:14,3,2,Second Class,Europe,Western Europe,Women's Apparel,Home Office,PENDING_PAYMENT,1,12.71000004,150.0,12.71000004,3.0,1,1
7/2/2015 19:42,7/8/2015 19:42,6,2,Second Class,Europe,Western Europe,Trade-In,Home Office,PENDING_PAYMENT,1,7.760000229,65.97000122,7.760000229,3.0,4,1
3/28/2015 0:55,4/3/2015 0:55,6,2,Second Class,LATAM,Central America,Cardio Equipment,Home Office,PENDING_PAYMENT,1,101.3899994,299.9700012,101.3899994,3.0,4,1
4/2/2017 16:43,4/7/2017 16:43,5,2,Second Class,LATAM,Central America,Cleats,Home Office,PENDING_PAYMENT,1,-285.0700073,179.9700012,-285.0700073,3.0,3,1
5/5/2017 14:23,5/9/2017 14:23,4,2,Second Class,LATAM,Central America,Cleats,Home Office,PENDING_PAYMENT,1,42.74000168,179.9700012,42.74000168,3.0,2,1
4/25/2015 4:44,4/30/2015 4:44,5,2,Second Class,LATAM,Caribbean,Cleats,Home Office,PENDING_PAYMENT,1,49.3199997,179.9700012,49.3199997,3.0,3,1
4/25/2015 1:14,4/30/2015 1:14,5,2,Second Class,LATAM,South America,Cleats,Home Office,PENDING_PAYMENT,1,80.33999634,179.9700012,80.33999634,3.0,3,1
4/25/2015 1:14,4/30/2015 1:14,5,2,Second Class,LATAM,South America,Cleats,Home Office,PENDING_PAYMENT,1,-26.69000053,179.9700012,-26.69000053,3.0,3,1
6/6/2017 15:03,6/9/2017 15:03,3,2,Second Class,LATAM,Caribbean,Cleats,Home Office,PENDING_PAYMENT,1,-117.3300018,179.9700012,-117.3300018,3.0,1,1
2/18/2017 16:36,2/22/2017 16:36,4,2,Second Class,LATAM,South America,Cleats,Home Office,PENDING_PAYMENT,1,47.88000107,179.9700012,47.88000107,3.0,2,1
4/26/2015 3:10,4/30/2015 3:10,4,2,Second Class,LATAM,Central America,Women's Apparel,Home Office,PENDING_PAYMENT,1,72.0,150.0,72.0,3.0,2,1
4/10/2015 0:02,4/14/2015 0:02,4,2,Second Class,LATAM,Central America,Shop By Sport,Home Office,PENDING_PAYMENT,1,29.94000053,119.9700012,29.94000053,3.0,2,1
4/11/2017 15:49,4/15/2017 15:49,4,2,Second Class,LATAM,South America,Women's Apparel,Home Office,PENDING_PAYMENT,1,23.46999931,150.0,23.46999931,3.0,2,1
4/25/2015 4:44,4/30/2015 4:44,5,2,Second Class,LATAM,Caribbean,Women's Apparel,Home Office,PENDING_PAYMENT,1,68.40000153,150.0,68.40000153,3.0,3,1
3/16/2017 2:54,3/22/2017 2:54,6,2,Second Class,LATAM,Central America,Women's Apparel,Home Office,PENDING_PAYMENT,1,43.65999985,150.0,43.65999985,3.0,4,1
3/29/2015 10:33,3/31/2015 10:33,2,2,Second Class,LATAM,Central America,Women's Apparel,Home Office,PENDING_PAYMENT,0,13.19999981,150.0,13.19999981,3.0,0,0
2/3/2015 0:28,2/7/2015 0:28,4,2,Second Class,LATAM,Central America,Women's Apparel,Home Office,PENDING_PAYMENT,1,46.20000076,150.0,46.20000076,3.0,2,1
2/3/2015 0:28,2/7/2015 0:28,4,2,Second Class,LATAM,Central America,Women's Apparel,Home Office,PENDING_PAYMENT,1,10.43999958,150.0,10.43999958,3.0,2,1
2/18/2017 13:05,2/22/2017 13:05,4,2,Second Class,LATAM,Central America,Women's Apparel,Home Office,PENDING_PAYMENT,1,15.56000042,150.0,15.56000042,3.0,2,1
1/18/2017 19:37,1/22/2017 19:37,4,2,Second Class,LATAM,South America,Shop By Sport,Home Office,PENDING_PAYMENT,1,32.86000061,119.9700012,32.86000061,3.0,2,1
3/13/2015 18:59,3/18/2015 18:59,5,4,Standard Class,LATAM,South America,Women's Apparel,Consumer,PENDING,1,9.600000381,250.0,9.600000381,5.0,1,1
2/7/2017 9:47,2/13/2017 9:47,6,4,Standard Class,LATAM,South America,Shop By Sport,Consumer,PENDING,1,55.09000015,199.9499969,55.09000015,5.0,2,1
4/3/2015 19:08,4/7/2015 19:08,4,4,Standard Class,LATAM,South America,Shop By Sport,Consumer,PENDING,0,68.58999634,199.9499969,68.58999634,5.0,0,0
4/13/2017 14:25,4/15/2017 14:25,2,4,Standard Class,LATAM,South America,Women's Apparel,Consumer,PENDING,0,51.97999954,250.0,51.97999954,5.0,-2,0
4/2/2015 3:33,4/8/2015 3:33,6,4,Standard Class,LATAM,South America,Women's Apparel,Consumer,PENDING,1,-23.62999916,250.0,-23.62999916,5.0,2,1
1/31/2017 11:43,2/2/2017 11:43,2,4,Standard Class,LATAM,Caribbean,Shop By Sport,Consumer,PENDING,0,66.88999939,150.0,66.88999939,5.0,-2,0
3/30/2017 23:12,4/2/2017 23:12,3,4,Standard Class,LATAM,Caribbean,Shop By Sport,Consumer,PENDING,0,11.46000004,199.9499969,11.46000004,5.0,-1,0
3/25/2017 23:02,3/30/2017 23:02,5,4,Standard Class,LATAM,Caribbean,Women's Apparel,Consumer,PENDING,1,22.5,250.0,22.5,5.0,1,1
2/5/2017 1:01,2/9/2017 1:01,4,4,Standard Class,LATAM,Central America,Women's Apparel,Consumer,PENDING,0,67.5,250.0,67.5,5.0,0,0
4/15/2017 14:04,4/18/2017 14:04,3,4,Standard Class,LATAM,Central America,Shop By Sport,Consumer,PENDING,0,78.27999878,199.9499969,78.27999878,5.0,-1,0
2/15/2015 18:40,2/18/2015 18:40,3,4,Standard Class,LATAM,Central America,Women's Apparel,Consumer,PENDING,0,104.4000015,250.0,104.4000015,5.0,-1,0
5/27/2017 16:48,5/30/2017 16:48,3,4,Standard Class,LATAM,South America,Women's Apparel,Consumer,PENDING,0,47.84999847,250.0,47.84999847,5.0,-1,0
2/25/2015 20:46,3/1/2015 20:46,4,4,Standard Class,LATAM,Central America,Shop By Sport,Consumer,PENDING,0,44.18999863,199.9499969,44.18999863,5.0,0,0
5/31/2017 11:33,6/2/2017 11:33,2,4,Standard Class,LATAM,South America,Women's Apparel,Consumer,PENDING,0,8.5,250.0,8.5,5.0,-2,0
1/15/2015 4:32,1/19/2015 4:32,4,4,Standard Class,LATAM,Caribbean,Shop By Sport,Consumer,PENDING,0,83.98000336,199.9499969,83.98000336,5.0,0,0
4/26/2017 15:16,5/1/2017 15:16,5,4,Standard Class,LATAM,Central America,Women's Apparel,Consumer,PENDING,1,70.13999939,250.0,70.13999939,5.0,1,1
3/7/2017 19:12,3/13/2017 19:12,6,4,Standard Class,LATAM,South America,Women's Apparel,Consumer,PENDING,1,72.62999725,250.0,72.62999725,5.0,2,1
4/20/2017 18:47,4/24/2017 18:47,4,4,Standard Class,LATAM,Caribbean,Women's Apparel,Consumer,PENDING,0,-140.0,250.0,-140.0,5.0,0,0
3/3/2017 6:14,3/8/2017 6:14,5,4,Standard Class,LATAM,Central America,Women's Apparel,Consumer,PENDING,1,-32.59999847,250.0,-32.59999847,5.0,1,1
6/4/2017 16:06,6/8/2017 16:06,4,4,Standard Class,LATAM,Central America,Shop By Sport,Consumer,PENDING,0,68.98000336,199.9499969,68.98000336,5.0,0,0
5/16/2017 21:33,5/19/2017 21:33,3,4,Standard Class,LATAM,Central America,Women's Apparel,Consumer,PENDING,0,-11.81000042,250.0,-11.81000042,5.0,-1,0
2/7/2017 9:47,2/13/2017 9:47,6,4,Standard Class,LATAM,South America,Women's Apparel,Consumer,PENDING,1,52.5,250.0,52.5,5.0,2,1
5/27/2015 1:32,5/30/2015 1:32,3,4,Standard Class,LATAM,South America,Women's Apparel,Consumer,PENDING,0,91.87999725,250.0,91.87999725,5.0,-1,0
3/28/2017 5:20,4/2/2017 5:20,5,4,Standard Class,LATAM,Central America,Electronics,Consumer,PENDING,1,29.69000053,239.9499969,29.69000053,5.0,1,1
2/5/2017 1:01,2/9/2017 1:01,4,4,Standard Class,LATAM,Central America,Electronics,Consumer,PENDING,0,73.69999695,159.9499969,73.69999695,5.0,0,0
5/2/2017 3:00,5/8/2017 3:00,6,4,Standard Class,LATAM,Central America,Kids' Golf Clubs,Consumer,PENDING,1,-79.19000244,449.9500122,-79.19000244,5.0,2,1
4/3/2017 23:53,4/7/2017 23:53,4,4,Standard Class,LATAM,Caribbean,Hunting & Shooting,Consumer,PENDING,0,34.84999847,149.9499969,34.84999847,5.0,0,0
4/30/2015 23:49,5/2/2015 23:49,2,4,Standard Class,LATAM,South America,Baseball & Softball,Consumer,PROCESSING,0,74.08999634,299.9500122,74.08999634,5.0,-2,0
4/27/2017 3:32,5/2/2017 3:32,5,4,Standard Class,LATAM,Central America,Cardio Equipment,Consumer,PROCESSING,1,149.9900055,499.9500122,149.9900055,5.0,1,1
2/2/2015 3:27,2/6/2015 3:27,4,4,Standard Class,LATAM,Central America,Cardio Equipment,Consumer,PROCESSING,0,-18.80999947,499.9500122,-18.80999947,5.0,0,0
2/13/2017 16:05,2/18/2017 16:05,5,4,Standard Class,LATAM,South America,Cardio Equipment,Consumer,PROCESSING,1,140.6399994,499.9500122,140.6399994,5.0,1,1
5/27/2017 23:28,5/29/2017 23:28,2,4,Standard Class,LATAM,Central America,Cardio Equipment,Consumer,PROCESSING,0,36.0,499.9500122,36.0,5.0,-2,0
3/19/2017 19:53,3/24/2017 19:53,5,4,Standard Class,LATAM,South America,Cardio Equipment,Consumer,PROCESSING,1,179.9799957,499.9500122,179.9799957,5.0,1,1
5/7/2015 15:56,5/11/2015 15:56,4,4,Standard Class,LATAM,Central America,Cardio Equipment,Consumer,PROCESSING,0,-783.6699829,499.9500122,-783.6699829,5.0,0,0
4/27/2015 11:23,5/3/2015 11:23,6,4,Standard Class,LATAM,Central America,Cardio Equipment,Consumer,PROCESSING,1,199.4799957,499.9500122,199.4799957,5.0,2,1
4/14/2017 18:06,4/20/2017 18:06,6,4,Standard Class,LATAM,Central America,Cardio Equipment,Consumer,PROCESSING,1,-269.9700012,499.9500122,-269.9700012,5.0,2,1
5/7/2015 1:13,5/9/2015 1:13,2,4,Standard Class,LATAM,South America,Cardio Equipment,Consumer,PROCESSING,0,-22.5,499.9500122,-22.5,5.0,-2,0
6/12/2017 5:55,6/15/2017 5:55,3,4,Standard Class,LATAM,South America,Boxing & MMA,Consumer,PROCESSING,0,59.06000137,449.9500122,59.06000137,5.0,-1,0
3/26/2017 15:30,3/28/2017 15:30,2,4,Standard Class,LATAM,Central America,Cleats,Consumer,PROCESSING,0,140.9799957,299.9500122,140.9799957,5.0,-2,0
2/17/2017 11:52,2/19/2017 11:52,2,4,Standard Class,LATAM,Central America,Cleats,Consumer,PROCESSING,0,81.66000366,299.9500122,81.66000366,5.0,-2,0
1/25/2017 1:13,1/31/2017 1:13,6,4,Standard Class,LATAM,Central America,Cleats,Consumer,PROCESSING,1,18.40999985,299.9500122,18.40999985,5.0,2,1
2/6/2017 6:27,2/9/2017 6:27,3,4,Standard Class,LATAM,South America,Cleats,Consumer,PROCESSING,0,33.22000122,299.9500122,33.22000122,5.0,-1,0
5/22/2017 6:08,5/27/2017 6:08,5,4,Standard Class,LATAM,Central America,Cleats,Consumer,PROCESSING,1,25.30999947,299.9500122,25.30999947,5.0,1,1
2/21/2017 1:00,2/26/2017 1:00,5,4,Standard Class,LATAM,Central America,Cleats,Consumer,PROCESSING,1,-239.8600006,299.9500122,-239.8600006,5.0,1,1
1/6/2015 19:26,1/11/2015 19:26,5,4,Standard Class,LATAM,Central America,Cleats,Consumer,PROCESSING,1,-155.8999939,299.9500122,-155.8999939,5.0,1,1
1/15/2017 4:44,1/21/2017 4:44,6,2,Second Class,Africa,Central Africa,Cardio Equipment,Consumer,ON_HOLD,1,40.02000046,99.98999786,40.02000046,1.0,4,1
10/28/2016 19:23,11/3/2016 19:23,6,2,Second Class,Africa,North Africa,Men's Footwear,Consumer,ON_HOLD,1,44.59000015,129.9900055,44.59000015,1.0,4,1
9/19/2016 13:39,9/22/2016 13:39,3,2,Second Class,Africa,East Africa,Men's Footwear,Consumer,ON_HOLD,1,57.95999908,129.9900055,57.95999908,1.0,1,1
8/25/2016 22:16,8/30/2016 22:16,5,2,Second Class,Africa,North Africa,Men's Footwear,Consumer,ON_HOLD,1,30.42000008,129.9900055,30.42000008,1.0,3,1
10/28/2016 19:23,11/3/2016 19:23,6,2,Second Class,Africa,North Africa,Cleats,Consumer,ON_HOLD,1,24.60000038,59.99000168,24.60000038,1.0,4,1
10/7/2016 23:26,10/11/2016 23:26,4,2,Second Class,Africa,West Africa,Men's Footwear,Consumer,ON_HOLD,1,48.88000107,129.9900055,48.88000107,1.0,2,1
11/3/2016 21:49,11/7/2016 21:49,4,2,Second Class,Africa,North Africa,Camping & Hiking,Consumer,ON_HOLD,1,0.0,299.980011,0.0,1.0,2,1
8/25/2016 22:16,8/30/2016 22:16,5,2,Second Class,Africa,North Africa,Camping & Hiking,Consumer,ON_HOLD,1,95.54000092,299.980011,95.54000092,1.0,3,1
11/3/2017 13:05,11/6/2017 13:05,3,2,Second Class,Europe,Southern Europe,Consumer Electronics,Consumer,COMPLETE,1,-50.58000183,252.8800049,-50.58000183,1.0,1,1
10/14/2017 11:42,10/18/2017 11:42,4,2,Second Class,Europe,Western Europe,Cameras ,Consumer,COMPLETE,1,120.8300018,452.0400085,120.8300018,1.0,2,1
11/4/2017 1:21,11/7/2017 1:21,3,2,Second Class,Europe,Western Europe,Consumer Electronics,Consumer,COMPLETE,1,25.04000092,252.8800049,25.04000092,1.0,1,1
10/16/2017 1:12,10/22/2017 1:12,6,2,Second Class,Europe,Western Europe,Cameras ,Consumer,COMPLETE,1,212.6399994,452.0400085,212.6399994,1.0,4,1
11/3/2017 18:20,11/6/2017 18:20,3,2,Second Class,Europe,Western Europe,Consumer Electronics,Consumer,COMPLETE,1,68.68000031,252.8800049,68.68000031,1.0,1,1
10/13/2017 3:08,10/19/2017 3:08,6,2,Second Class,Europe,Southern Europe,Cameras ,Consumer,COMPLETE,1,135.8300018,452.0400085,135.8300018,1.0,4,1
11/2/2017 10:06,11/8/2017 10:06,6,2,Second Class,Europe,Western Europe,Consumer Electronics,Consumer,COMPLETE,1,78.08000183,252.8800049,78.08000183,1.0,4,1
